uuid,lat,lon,date,season,pl
f08a0aa3-3e8a-48ad-8d89-bfa6eefff0e9,-16.961,27.032,2016-12-05,2,0
f08a0aa3-3e8a-48ad-8d89-bfa6eefff0e9,-16.961,27.032,2016-12-26,2,1
f08a0aa3-3e8a-48ad-8d89-bfa6eefff0e9,-16.961,27.032,2017-01-23,2,0
f0bcb418-839d-4772-8f3a-9af9b0eed299,-16.772,27.107,2016-10-17,2,0
f0bcb418-839d-4772-8f3a-9af9b0eed299,-16.772,27.107,2016-10-24,2,0
f0bcb418-839d-4772-8f3a-9af9b0eed299,-16.772,27.107,2016-10-31,2,0
f0bcb418-839d-4772-8f3a-9af9b0eed299,-16.772,27.107,2016-11-07,2,0
f0bcb418-839d-4772-8f3a-9af9b0eed299,-16.772,27.107,2016-11-14,2,0
f0bcb418-839d-4772-8f3a-9af9b0eed299,-16.772,27.107,2016-11-21,2,0
f0bcb418-839d-4772-8f3a-9af9b0eed299,-16.772,27.107,2016-11-28,2,1
f0bcb418-839d-4772-8f3a-9af9b0eed299,-16.772,27.107,2016-12-05,2,1
f0bcb418-839d-4772-8f3a-9af9b0eed299,-16.772,27.107,2016-12-12,2,1
f0bcb418-839d-4772-8f3a-9af9b0eed299,-16.772,27.107,2016-12-19,2,1
f0bcb418-839d-4772-8f3a-9af9b0eed299,-16.772,27.107,2016-12-26,2,1
f0bcb418-839d-4772-8f3a-9af9b0eed299,-16.772,27.107,2017-01-02,2,1
f172d121-428a-424c-8cb5-93ac8af6482f,-16.784,27.271,2016-10-17,2,0
f172d121-428a-424c-8cb5-93ac8af6482f,-16.784,27.271,2016-10-31,2,0
f172d121-428a-424c-8cb5-93ac8af6482f,-16.784,27.271,2016-11-07,2,0
f172d121-428a-424c-8cb5-93ac8af6482f,-16.784,27.271,2016-11-14,2,0
f172d121-428a-424c-8cb5-93ac8af6482f,-16.784,27.271,2016-11-21,2,0
f172d121-428a-424c-8cb5-93ac8af6482f,-16.784,27.271,2016-11-28,2,0
f172d121-428a-424c-8cb5-93ac8af6482f,-16.784,27.271,2016-12-05,2,1
f172d121-428a-424c-8cb5-93ac8af6482f,-16.784,27.271,2016-12-12,2,1
f172d121-428a-424c-8cb5-93ac8af6482f,-16.784,27.271,2016-12-19,2,1
f172d121-428a-424c-8cb5-93ac8af6482f,-16.784,27.271,2016-12-26,2,1
f172d121-428a-424c-8cb5-93ac8af6482f,-16.784,27.271,2017-01-02,2,1
f256785d-9efc-4c73-81c6-5629f471fa9a,-16.596,26.869,2016-10-17,2,0
f256785d-9efc-4c73-81c6-5629f471fa9a,-16.596,26.869,2016-10-24,2,0
f256785d-9efc-4c73-81c6-5629f471fa9a,-16.596,26.869,2016-11-07,2,0
f256785d-9efc-4c73-81c6-5629f471fa9a,-16.596,26.869,2016-11-14,2,0
f256785d-9efc-4c73-81c6-5629f471fa9a,-16.596,26.869,2017-01-02,2,1
f3af4eba-f108-4a5e-becb-3900504b6225,-13.387,28.444,2016-10-17,2,1
f3af4eba-f108-4a5e-becb-3900504b6225,-13.387,28.444,2016-10-31,2,0
f3af4eba-f108-4a5e-becb-3900504b6225,-13.387,28.444,2016-11-07,2,0
f3af4eba-f108-4a5e-becb-3900504b6225,-13.387,28.444,2016-11-14,2,0
f3af4eba-f108-4a5e-becb-3900504b6225,-13.387,28.444,2016-11-21,2,0
f3af4eba-f108-4a5e-becb-3900504b6225,-13.387,28.444,2016-12-12,2,1
f3af4eba-f108-4a5e-becb-3900504b6225,-13.387,28.444,2017-01-16,2,1
f4798847-7c85-4373-8f37-b8bfba0857ad,-16.819,26.977,2016-10-17,2,0
f4798847-7c85-4373-8f37-b8bfba0857ad,-16.819,26.977,2016-10-24,2,0
f4798847-7c85-4373-8f37-b8bfba0857ad,-16.819,26.977,2016-11-07,2,0
f4798847-7c85-4373-8f37-b8bfba0857ad,-16.819,26.977,2016-11-14,2,0
f4798847-7c85-4373-8f37-b8bfba0857ad,-16.819,26.977,2016-11-21,2,0
f4798847-7c85-4373-8f37-b8bfba0857ad,-16.819,26.977,2016-11-28,2,0
f4798847-7c85-4373-8f37-b8bfba0857ad,-16.819,26.977,2016-12-05,2,0
f4798847-7c85-4373-8f37-b8bfba0857ad,-16.819,26.977,2016-12-12,2,1
f4798847-7c85-4373-8f37-b8bfba0857ad,-16.819,26.977,2016-12-19,2,1
f4798847-7c85-4373-8f37-b8bfba0857ad,-16.819,26.977,2016-12-26,2,1
f4831cde-e8e3-4d00-8170-0289208958ba,-16.419,26.779,2016-10-17,2,0
f4831cde-e8e3-4d00-8170-0289208958ba,-16.419,26.779,2016-12-26,2,1
f58e95e7-9d4a-4809-824a-f985c083fb24,-16.51,26.934,2016-10-17,2,0
f58e95e7-9d4a-4809-824a-f985c083fb24,-16.51,26.934,2016-10-24,2,0
f58e95e7-9d4a-4809-824a-f985c083fb24,-16.51,26.934,2016-10-31,2,0
f58e95e7-9d4a-4809-824a-f985c083fb24,-16.51,26.934,2016-11-07,2,0
f58e95e7-9d4a-4809-824a-f985c083fb24,-16.51,26.934,2016-11-14,2,0
f58e95e7-9d4a-4809-824a-f985c083fb24,-16.51,26.934,2016-11-21,2,0
f58e95e7-9d4a-4809-824a-f985c083fb24,-16.51,26.934,2016-11-28,2,0
f58e95e7-9d4a-4809-824a-f985c083fb24,-16.51,26.934,2016-12-05,2,1
f58e95e7-9d4a-4809-824a-f985c083fb24,-16.51,26.934,2016-12-12,2,1
f58e95e7-9d4a-4809-824a-f985c083fb24,-16.51,26.934,2016-12-19,2,1
f58e95e7-9d4a-4809-824a-f985c083fb24,-16.51,26.934,2016-12-26,2,1
f6062450-f77d-47e2-aed2-6d245c4fa7c3,-10.611,32.189,2016-10-17,2,0
f6062450-f77d-47e2-aed2-6d245c4fa7c3,-10.611,32.189,2016-10-24,2,0
f6062450-f77d-47e2-aed2-6d245c4fa7c3,-10.611,32.189,2016-10-31,2,0
f6062450-f77d-47e2-aed2-6d245c4fa7c3,-10.611,32.189,2016-11-07,2,1
f6062450-f77d-47e2-aed2-6d245c4fa7c3,-10.611,32.189,2016-12-05,2,1
f6062450-f77d-47e2-aed2-6d245c4fa7c3,-10.611,32.189,2016-12-19,2,1
f6062450-f77d-47e2-aed2-6d245c4fa7c3,-10.611,32.189,2016-12-26,2,1
f6062450-f77d-47e2-aed2-6d245c4fa7c3,-10.611,32.189,2017-01-09,2,0
f6062450-f77d-47e2-aed2-6d245c4fa7c3,-10.611,32.189,2017-01-16,2,1
f60e51e5-be38-4789-a29d-5b334bc80c19,-16.547,26.959,2016-10-17,2,0
f60e51e5-be38-4789-a29d-5b334bc80c19,-16.547,26.959,2016-10-24,2,0
f60e51e5-be38-4789-a29d-5b334bc80c19,-16.547,26.959,2016-11-07,2,0
f60e51e5-be38-4789-a29d-5b334bc80c19,-16.547,26.959,2016-11-14,2,0
f60e51e5-be38-4789-a29d-5b334bc80c19,-16.547,26.959,2016-11-21,2,0
f60e51e5-be38-4789-a29d-5b334bc80c19,-16.547,26.959,2016-11-28,2,0
f60e51e5-be38-4789-a29d-5b334bc80c19,-16.547,26.959,2016-12-05,2,1
f60e51e5-be38-4789-a29d-5b334bc80c19,-16.547,26.959,2016-12-12,2,1
f60e51e5-be38-4789-a29d-5b334bc80c19,-16.547,26.959,2016-12-19,2,1
f60e51e5-be38-4789-a29d-5b334bc80c19,-16.547,26.959,2016-12-26,2,1
f60e51e5-be38-4789-a29d-5b334bc80c19,-16.547,26.959,2017-01-30,2,1
f60e51e5-be38-4789-a29d-5b334bc80c19,-16.547,26.959,2017-02-06,2,0
f65f5cb6-7f4b-4b76-98d2-95151678ba5c,-12.408,33.332,2016-10-17,2,0
f6685654-96d0-4ab2-abc3-8f35e43684ab,-12.419,33.327,2016-10-17,2,0
f6685654-96d0-4ab2-abc3-8f35e43684ab,-12.419,33.327,2016-11-07,2,0
f6685654-96d0-4ab2-abc3-8f35e43684ab,-12.419,33.327,2016-11-14,2,0
f6685654-96d0-4ab2-abc3-8f35e43684ab,-12.419,33.327,2016-11-21,2,0
f6685654-96d0-4ab2-abc3-8f35e43684ab,-12.419,33.327,2016-11-28,2,1
f6685654-96d0-4ab2-abc3-8f35e43684ab,-12.419,33.327,2016-12-05,2,1
f6685654-96d0-4ab2-abc3-8f35e43684ab,-12.419,33.327,2016-12-12,2,0
f6685654-96d0-4ab2-abc3-8f35e43684ab,-12.419,33.327,2016-12-19,2,1
