names,year,lat,lon,seed,plot,harv,pd1,pd2,pd3,pd4,pd5
10136023,17,-13.73,29.06,31,1.5,3620,2016-12-01,2016-12-01,,,
10136024,16,-13.73,29.06,10,1,40,2015-12-01,,,,
10136024,17,-13.73,29.06,25,1.5,4150,2016-11-07,2016-11-07,,,
10136025,16,-13.73,29.07,10,0.5,750,2015-12-06,,,,
10136025,17,-13.73,29.07,10,0.5,1500,2016-12-01,,,,
10201001,16,-15.06,26.75,30,1.4,500,2015-12-01,2015-12-13,,,
10201001,17,-15.06,26.75,35,1.90000003576279,1650,2016-12-01,2016-12-01,2016-12-05,,
10201002,16,-15.07,26.76,20,1,1750,2015-11-24,,,,
10201002,17,-15.07,26.76,30,1.70000004768372,1250,2016-11-07,2016-12-05,,,
10201003,16,-15.07,26.75,35,1.25,2600,2015-11-08,2015-11-08,2015-12-06,,
10201003,17,-15.07,26.75,20,2,2000,2016-12-01,2016-11-02,,,
10201004,16,-15.07,26.75,40,1.6,1220,2015-12-01,2015-12-06,,,
10201004,17,-15.07,26.75,40,3,3600,2016-11-24,2016-12-01,,,
10201005,16,-15.08,25.74,20,1,1250,2015-12-01,,,,
10201005,17,-15.08,25.74,20,1,1225,2016-12-12,2017-01-04,,,
10201006,16,-15.07,26.74,45,2.5,6600,2015-11-15,2015-12-13,,,
10201007,16,-15.06,26.75,30,1.4,1500,2015-11-02,2015-11-08,,,
10201008,16,-15.07,26.75,20,1,300,2015-12-06,2015-12-13,,,
10201008,17,-15.07,26.75,50,2.5,1800,2016-11-07,2016-12-01,,,
10201009,16,-15.08,26.74,20,1,3900,2015-11-15,,,,
10201009,17,-15.08,26.74,50,2.5,2000,2016-12-01,2016-12-05,,,
10201010,16,-15.07,26.75,10,0.5,1850,2016-01-04,,,,
10201010,17,-15.07,26.75,10,0.5,250,2016-11-14,,,,
10201011,16,-15.06,26.74,40,1.5,2950,2015-11-08,2015-12-06,2015-12-24,,
10201011,17,-15.06,26.74,30,1.5,3250,2016-11-14,2016-11-02,,,
10201012,16,-15.08,26.74,0,0,0,,,,,
10201012,17,-15.08,26.74,10,0.800000011920929,200,2016-12-01,,,,
10201013,16,-15.06,26.75,110,5.4,5250,2015-11-02,2015-12-01,,,
10201014,16,-15.07,26.74,20,1.25,1000,2015-12-24,2015-12-13,,,
10201014,17,-15.07,26.74,30,2,0,2016-11-24,,,,
10201015,16,-15.07,26.74,10,0.5,890,2015-12-01,,,,
10201015,17,-15.07,26.74,30,1.80000007152557,650,2016-12-01,2016-12-05,2016-12-23,,
